System,State,County,Requesting Party,Efforts to Remove Vulnerable Persons,Efforts to Remove Persons with/Suspend Arrests for Nonviolent Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Source(s),Additional Notes
Prison ,Illinois,,"Uptown People's Law Center, Illinois ACLU, Equip for Equality & Many more",X,X,X,X,3/17/2020,https://docs.google.com/forms/d/12bvQXQPxZFNdbZNDUO5RtBl8lv5kSREekE1krsI7kuw/edit,See also news release
Jail,Illinois,Cook,Amy Campanelli (Public Defender),X,X,,,3/20/2020,See attached,"Attached folder includes petition for release, all exhibits, and amicus brief exploring heightened risk factors"
Jail,Illinois,Cook,Chicago Community Bond Fund,,X,,,4/15/2020,https://campaigns.organizefor.org/petitions/demand-that-cook-county-state-s-attorney-kim-foxx-decarcerate-to-respond-to-covid-19,Online petition calling on the Cook County State’s Attorney’s Office to take additional steps to dramatically lower the number of people in jail in response to COVID-19.
Prison,Indiana,,Constructing Our Future and RecycleForce,X,X,,X,3/5/2020,https://docs.google.com/document/d/e/2PACX-1vR35tN_5xWKqMS71reu9DczFDllYXSbkS2d1Gd1VkBZ3t6VscjdB2RlMATCgH7-z9vzxgJncWSLew8r/pub?urp=gmail_link,
Jail,Indiana,Putnam ,letter to judges and sheriff from founder of jail education program,X,X,,X,3/8/2020,,
Jail,Kentucky,State-wide,Chief Justice John Minton Jr.,X,X,,X,3/23/2020,https://www.kentucky.com/news/coronavirus/article241428266.html?utm_source=The+Marshall+Project+Newsletter&utm_campaign=cc1354b3f1-EMAIL_CAMPAIGN_2020_03_25_11_31&utm_medium=email&utm_term=0_5e02cdad9d-cc1354b3f1-170554949,Kentucky's chief justice urging state court officials to release jail inmates -- recent figures suggest most officials have been slow to address the crisis with dozens of local jails above capacity
System-Wide,Louisiana,State-wide,"ACLU of Louisiana, Daughters Beyond Incarceration, The First 72+, Innocence Project New Orleans, Justice & Accountability Center of Louisiana, LA Repeal, Louisiana Books 2 Prisoners, Louisiana Center for Children's Rights, The Louisiana Interfaith Coalition for Justice, Louisiana Stop Solitary Coalition, Louisiana Survivors for Reform, Nola to Angola, Operation Restoration, Orleans Public Defenders, Participatory Defense Movement Nola, Power Coalition for Equity and Justice, Promise of Justice Initiative, Roderick and Solange MacArthur Justice Center, Southern Poverty Law Center, Voice of the Experienced (VOTE)",X,X,,X,3/16/2020,https://promiseofjustice.org/wp-content/uploads/2020/03/Coalition-Letter-to-Governor-Edwards-re-COVID-19-Prevention-and-Protection-in-Louisiana-Facilities.pdf,"Relevant requests from letter to Governor: Order the Department of Corrections to Lift and Cease Placing Probation and Parole Holds for Violations Where No Immediate and Significant Risk Is Posed to the Community // Precautions Regarding—Including Release of—Medically Fragile and Older Adults​ and Children from Prison and Secure-Care Facilities // Immediate Release of Individuals in Pre-trial Detention Absent Substantial Showing of Imminent Dangerousness to Community // Extend good-time credit: In order to reduce exposure, DOC should issue an emergency 90-days good time credit to allow the release of anyone within 90 days of going hom // Sign clemency applications on your desk // Instruct OJJ to file motions for release of juveniles who pose no imminent and substantial danger to the community"
Jail,Louisiana,,Orleans Parish Prison Reform Coalition,X,X,X,,3/18/2020,https://opprcnola.org/blog/opprc-covid19-letter,"to immediately release (1) people who are being held pretrial who fall into the high-risk categories defined by the CDC, (2) people held for outstanding fines and fees, (3) people arrested for misdemeanor offenses (4) people arrested for a non-violent crime that, under Louisiana statute, would not require a mandatory prison sentence if convicted, and (5) people who are detained on a probation or parole hold, based on an arrest for a non-violent crime for which they would not be mandated to serve a prison sentence if convicted, and who are otherwise in compliance with the terms of their probation or parole."
System-Wide,Maryland,,Coalition,X,X,X,X,3/18/20,https://www.aclu-md.org/sites/default/files/field_documents/hogan_eo_request_3_18_20_230_pm.pdf,Still collecting signatures: https://forms.gle/HKPoTHNSakSbBRq4A
System-Wide,Massachusetts,,Families for Justice as Healing (along with a long list of other signatories),X,X,X,X,3/16/2020,https://twitter.com/PplNotPrisons/status/1239977956291645440?s=20,Call to release as many people as possible
Jail,Michigan,State-wide,"Chief Justice Bridget McCormack, Sheriff Matt Saxton",,X,X,,3/26/2020,https://courts.michigan.gov/News-Events/press_releases/Documents/CJ%20and%20MSA%20Joint%20Statement%20draft%202%20(003).pdf,"Guidance issued jointly by state's Chief Justice and Sheriffs' Association Director applauding local decisions that have already brought jail populations down and urging significant proactive measures at the arrest, pretrial, and sentencing stages of the justice system statewide"
Jail,Minnesota,,Public defenders (+ local group Decarcerate MN working on list of demands),,,,,3/15/2020,http://www.startribune.com/state-public-defender-pushes-for-release-of-jail-inmates-as-court-system-weighs-operational-changes/568813882/,
System-Wide,Mississippi,State-wide,ACLU-MS; FWD.us; MacArthur Justice Center at Ole Miss; Mississippi Center for Justice; Mississippi NAACP; Mississippi Prison Reform Coalition; People's Advocacy Institute; Southern Poverty Law Center,X,X,X,X,3/16/2020,https://www.splcenter.org/sites/default/files/20200316_-_letter_to_tate_reeves_re_covid-19_in_facilities.pdf,"Copies of letters went to Governor, MDOC officials, sheriffs re county jails, prison wardens and directors of juvenile detention centers, and other stakeholders, and covered a wide range of requests including releases in addition to implementation of policies and procedures re COVID-19 prevention and treatment."
System-Wide,Mississippi,State-wide,SPLC Action Fund,,,,,4/16/2020,,
Jail,Missouri,,"Coalition of Groups (incl. MacArthur Justice Center, ACLU of Missouri, Arch City Defenders, and others)",X,X,X,X,3/13/2020,https://www.archcitydefenders.org/for-immediate-release-with-the-rise-of-covid-19-archcity-defenders-and-regional-organizations-send-letter-to-missouri-officials-outlining-concerns-and-recommending-comprehensive-policy-changes/,Converted to a petition here: https://www.ipetitions.com/petition/stlmocovid19response?fbclid=IwAR04_xhkOp4IXCcs0SUQ2xglXDQJIWwwSSBqS_u0ym1KlRk3MkwaSp6pYEA
Prison,Missouri,,"Coalition of Groups (incl. MacArthur Justice Center, ACLU of Missouri, Arch City Defenders, and others)",X,X,X,X,3/13/2020,https://www.archcitydefenders.org/for-immediate-release-with-the-rise-of-covid-19-archcity-defenders-and-regional-organizations-send-letter-to-missouri-officials-outlining-concerns-and-recommending-comprehensive-policy-changes/,Converted to a petition here: https://www.ipetitions.com/petition/stlmocovid19response?fbclid=IwAR04_xhkOp4IXCcs0SUQ2xglXDQJIWwwSSBqS_u0ym1KlRk3MkwaSp6pYEA
